data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
18. Bambara,1,0,4,3,0,0,0,0,5,1,0
19. Bengali,2,4,3,1,0,6,0,2,0,0,2
20. Tigrinya,2,2,3,0,2,5,0,3,0,5,0
21. Somali,2,6,5,0,0,1,0,1,1,6,1
Other (please specify),4,2,11,0,3,1,0,3,3,8,0
How many people live in your household (including the interviewee) in Libya?,,,,,,,,,,,
1,41,63,18,26,72,80,0,20,72,2,10
3,12,7,12,15,3,4,0,14,6,20,26
4,11,5,11,13,4,3,0,17,8,24,13
5,8,3,6,15,3,2,0,16,4,19,11
2,8,3,12,6,3,4,0,10,4,13,19
6,6,6,7,8,2,1,50,8,2,9,9
1/1/1900,4,4,10,0,12,6,0,1,1,0,0
7,2,1,2,5,1,0,0,2,2,3,3
8,2,2,3,3,0,0,0,2,1,2,2
4/1/1900,1,2,5,1,0,0,50,2,0,1,0
3/1/1900,1,3,4,0,0,0,0,2,0,1,0
9,1,0,1,3,0,0,0,1,0,1,2
5/1/1900,1,2,3,0,1,0,0,1,0,0,1
6/1/1900,1,0,2,0,0,0,0,2,0,1,0
7/1/1900,0,0,1,1,0,0,0,2,0,0,1
2/1/1900,0,1,2,0,0,1,0,0,0,0,0
10,0,0,0,1,0,1,0,0,1,0,1
8/1/1900,0,1,0,1,0,0,0,0,0,0,1
12,0,0,0,2,0,0,0,0,0,0,1
9/1/1900,0,0,1,1,0,0,0,0,0,0,0
10/1/1900,0,0,0,0,0,0,0,1,1,0,0
12/1/1900,0,0,1,0,0,0,0,1,0,0,0
15/01/1900,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,1
How old are you?,,,,,,,,,,,
Average,33.15541327,32.49238579,37.26344086,34.1627907,33.4940239,29.48404255,27,39.31736527,28.68639053,30.20183486,34.23214286
"For enumerator:
What is the sex of the respondent?",,,,,,,,,,,
Male,92,97,66,73,100,99,50,94,100,98,100
Female,8,3,34,27,0,1,50,6,0,2,0
Infants 0-5years: (male),,,,,,,,,,,
Average,0.098370198,0.020304569,0.220430108,0.244186047,0.079681275,0.021276596,0.5,0.221556886,0.023668639,0.036697248,0.047619048
Children 6-14 years: (male),,,,,,,,,,,
Average,0.136204889,0.040609137,0.23655914,0.226744186,0.067729084,0.026595745,0,0.562874251,0.029585799,0.050458716,0.06547619
Youth 15-17 years: (male),,,,,,,,,,,
Average,0.098370198,0.030456853,0.129032258,0.180232558,0.027888446,0.026595745,0,0.299401198,0.065088757,0.009174312,0.196428571
Adults 18-64: (male),,,,,,,,,,,
Average,1.825960419,1.771573604,1.150537634,1.686046512,1.047808765,1.074468085,1,1.22754491,1.75739645,3.697247706,3.029761905
Elderly 65+ years: (male),,,,,,,,,,,
Average,0.015715949,0.005076142,0.021505376,0.052325581,0,0.005319149,0,0.035928144,0.00591716,0,0.029761905
nb_male,,,,,,,,,,,
Average,2.174039581,1.868020305,1.758064516,2.389534884,1.22310757,1.154255319,1.5,2.347305389,1.875739645,3.793577982,3.369047619
under18_male,,,,,,,,,,,
Average,0.332945285,0.091370558,0.586021505,0.651162791,0.175298805,0.074468085,0.5,1.083832335,0.118343195,0.096330275,0.30952381
over18_male,,,,,,,,,,,
Average,1.841094296,1.776649746,1.172043011,1.738372093,1.047808765,1.079787234,1,1.263473054,1.75739645,3.697247706,3.05952381
school_aged_boys,,,,,,,,,,,
Average,0.234575087,0.07106599,0.365591398,0.406976744,0.09561753,0.053191489,0,0.862275449,0.094674556,0.059633028,0.261904762
Infants 0-5years: (female),,,,,,,,,,,
Average,0.084982538,0.010152284,0.231182796,0.197674419,0.071713147,0.015957447,1.5,0.185628743,0.017751479,0.036697248,0.005952381
Children 6-14 years: (female),,,,,,,,,,,
Average,0.101280559,0.030456853,0.225806452,0.308139535,0.06374502,0.026595745,1,0.239520958,0,0.032110092,0.017857143
Youth 15-17 years: (female),,,,,,,,,,,
Average,0.05355064,0.010152284,0.080645161,0.145348837,0.007968127,0.021276596,0.5,0.101796407,0,0.004587156,0.148809524
Adults 18-64: (female),,,,,,,,,,,
Average,0.38766007,0.121827411,0.924731183,0.889534884,0.175298805,0.127659574,0.5,0.80239521,0.041420118,0.21559633,0.357142857
Elderly 65+ years: (female),,,,,,,,,,,
Average,0.012223516,0.005076142,0.043010753,0.058139535,0,0.005319149,0,0.005988024,0,0,0
nb_female,,,,,,,,,,,
Average,0.639697322,0.177664975,1.505376344,1.598837209,0.3187251,0.196808511,3.5,1.335329341,0.059171598,0.288990826,0.529761905
under18_female,,,,,,,,,,,
Average,0.239813737,0.050761421,0.537634409,0.651162791,0.143426295,0.063829787,3,0.526946108,0.017751479,0.073394495,0.172619048
over18_female,,,,,,,,,,,
Average,0.399883586,0.126903553,0.967741935,0.947674419,0.175298805,0.132978723,0.5,0.808383234,0.041420118,0.21559633,0.357142857
school_aged_girls,,,,,,,,,,,
Average,0.154831199,0.040609137,0.306451613,0.453488372,0.071713147,0.04787234,1.5,0.341317365,0,0.036697248,0.166666667
nb_ind_hh,,,,,,,,,,,
Average,2.813736903,2.045685279,3.26344086,3.988372093,1.541832669,1.35106383,5,3.682634731,1.934911243,4.082568807,3.898809524
nb_under18,,,,,,,,,,,
Average,0.572759022,0.14213198,1.123655914,1.302325581,0.3187251,0.138297872,3.5,1.610778443,0.136094675,0.169724771,0.482142857
nb_over18,,,,,,,,,,,
Average,2.240977881,1.903553299,2.139784946,2.686046512,1.22310757,1.212765957,1.5,2.071856287,1.798816568,3.912844037,3.416666667
Are you currently pregnant?,,,,,,,,,,,
No,90,100,95,85,,0,100,90,,80,
Yes,9,0,3,15,,50,0,10,,20,
Don't know,1,0,2,0,,50,0,0,,0,
male,,,,,,,,,,,
Average,0.174621653,0.086294416,0.161290323,0.406976744,0,0,0,0.203592814,0.082840237,0.018348624,0.779761905
female,,,,,,,,,,,
Average,0.098370198,0,0.112903226,0.313953488,0,0.010638298,0,0.089820359,0,0.059633028,0.380952381
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)",,,,,,,,,,,
Average,5.767753201,6.812182741,5.397849462,5.093023256,5.812749004,5.010638298,6.5,5.28742515,6.437869822,5.302752294,6.821428571
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)",,,,,,,,,,,
Average,3.441792782,6.30964467,2.741935484,2.302325581,2.386454183,3.877659574,1,4.347305389,2.218934911,3.490825688,3.404761905
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)",,,,,,,,,,,
Average,4.094877765,6.187817259,4.080645161,4.494186047,2.677290837,3.89893617,1,5.071856287,5.360946746,2.28440367,3.726190476
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)",,,,,,,,,,,
Average,3.375436554,6.07106599,3.677419355,3.656976744,1.38247012,2.829787234,5,3.754491018,4.396449704,2.816513761,2.482142857
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)",,,,,,,,,,,
Average,5.419091967,6.888324873,5.14516129,5.279069767,6.203187251,5.771276596,1,6.74251497,5.650887574,2.633027523,4.696428571
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)",,,,,,,,,,,
Average,2.041327125,4.898477157,2.403225806,2.034883721,0.788844622,2.765957447,0.5,2.05988024,0.852071006,1.30733945,1.505952381
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)",,,,,,,,,,,
Average,5.161816065,6.45177665,5.52688172,5.325581395,5.665338645,3.973404255,4,6.107784431,6.218934911,1.220183486,6.779761905
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)",,,,,,,,,,,
Average,4.635040745,5.908629442,4.623655914,4.674418605,4.362549801,4.127659574,4,5.682634731,3.852071006,2.334862385,6.827380952
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)",,,,,,,,,,,
Average,5.070430733,6.634517766,4.930107527,5.203488372,5.836653386,3.957446809,4,4.982035928,6.621301775,1.229357798,6.880952381
What are the top three sources from which you typically acquire food?,,,,,,,,,,,
1. Own production,4,1,5,6,2,0,0,1,2,3,17
"2. Received as food aid through government, UN, NGOs, civil society, etc.",2,0,12,1,0,2,0,4,1,0,2
3. Received as gift from friends or relatives,13,7,25,15,2,37,0,11,4,12,3
4. Market (purchased with cash) ,96,99,87,95,99,96,50,98,96,96,96
5. Market (purchased on credit),14,7,15,16,0,23,50,40,6,16,5
6. Market (purchased with cheque),1,1,0,0,0,5,0,0,0,0,1
7. Work or barter for food,6,4,9,8,0,11,0,11,0,5,5
"8. Gathering, hunting, or fishing",1,1,1,0,0,0,0,7,0,1,0
"9. Borrowing food from relatives, hosts, or external parties",4,1,6,8,0,5,0,11,4,1,1
10. Zakat,3,0,3,1,2,0,50,1,5,0,21
Other (please specify),1,3,1,5,0,1,0,1,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
"1. Rely on less preferred, less expensive food?",,,,,,,,,,,
Average,2.484284051,2,3.666666667,2.575581395,4.03187251,1.930851064,0,2.425149701,2.088757396,2.458715596,0.476190476
2. Borrow food or rely on help from friends or relatives?,,,,,,,,,,,
Average,0.546565774,0.040609137,1.376344086,0.523255814,0.12749004,0.29787234,3.5,0.814371257,0.982248521,0.45412844,0.529761905
3. Reduce the number of meals eaten per day?,,,,,,,,,,,
Average,1.474388824,0.035532995,3.268817204,1.709302326,1.541832669,0.39893617,3.5,2.347305389,1.49704142,1.97706422,0.470238095
4. Reduce the size of portions or meals?,,,,,,,,,,,
Average,1.533760186,0,3.349462366,1.825581395,1.673306773,0.393617021,3.5,2.329341317,1.437869822,2.174311927,0.541666667
5. Reduce the quantity consumed by adults so children could eat?,,,,,,,,,,,
Average,0.404540163,0,1.731182796,0.622093023,0,0.079787234,3.5,0.640718563,0.171597633,0.142201835,0.458333333
"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?",,,,,,,,,,,
No,87,90,95,92,97,97,50,65,92,85,65
"2. Yes, crop production",8,8,3,5,3,1,50,21,5,4,27
"3. Yes, livestock production",7,7,1,2,0,1,50,18,4,13,16
"4. Yes, fishing/fisheries",0,0,1,0,0,1,0,3,0,0,0
Other (please specify),1,0,2,2,0,0,0,4,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
What type of shelter do you live in?,,,,,,,,,,,
2. House,41,37,40,38,40,50,100,38,29,75,11
1. Apartment (including one-room apartments),23,31,35,27,42,9,0,28,13,9,8
3. Unfinished room(s),22,8,14,28,17,15,0,17,34,3,75
"5. Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",8,11,4,5,0,21,0,11,7,11,2
8. Connection house,3,12,1,0,0,2,0,5,0,2,4
"4. Public building not usually used for shelter (school, mosque, etc.)",1,2,3,0,0,3,0,0,4,0,0
10. Camp or informal settlement for displaced persons,1,0,0,0,0,0,0,0,12,0,0
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,0
7. Temporary shelter provided by INGO or local NGO,0,0,0,1,0,1,0,1,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,1,0,0
11. Outdoors (no shelter at all),0,0,1,0,0,0,0,0,1,0,0
6. Tent or caravan,0,0,1,0,0,0,0,0,0,0,1
9. Hotel,0,0,0,0,0,1,0,0,0,0,0
How many rooms are in your shelter?,,,,,,,,,,,
Average,2.155405405,1.812080537,2.060240964,2.234567901,2.048387097,2.230215827,3,2.834532374,2.471544715,1.958762887,1.987341772
How would you describe your occupancy status?,,,,,,,,,,,
3. Rental (with verbal agreement),63,32,72,69,76,50,50,50,67,74,72
7. Housing provided by employer,22,41,10,16,20,41,0,23,12,18,20
2. Rental (with written contract),5,13,5,5,0,2,0,19,0,0,5
4. Being hosted for free (not including by employer),4,10,6,3,3,4,50,2,5,3,2
6. Housing provided by public authority,2,0,4,0,0,3,0,0,14,1,1
1. Ownership ,1,3,1,5,0,1,0,1,1,0,0
8. Housing provided by smuggler,1,1,0,0,0,0,0,5,1,3,0
5. Squatting (without consent of owner),0,0,0,1,0,1,0,0,0,0,0
9. Living in the streets or public space,0,0,1,0,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,1
How much does your rental property cost per month (in LYD)?,,,,,,,,,,,
Average,349.2869955,332.4444444,436.2411348,377.125,397.591623,344.0206186,350,443.6521739,302.7433628,206.9230769,259
Has the rent increased or decreased since the beginning of 2019?,,,,,,,,,,,
3. No change,74,82,60,64,98,77,100,63,86,65,69
1. Increased,21,18,33,33,2,18,0,30,10,26,25
2. Decreased,3,0,3,2,1,1,0,7,1,7,0
Don't know,2,0,3,1,0,4,0,0,4,2,6
Prefer not to answer,0,0,0,0,0,0,0,1,0,0,0
Who is hosting you for free?,,,,,,,,,,,
3. Libyan friend,50,60,36,50,75,29,0,100,38,17,67
2. Migrant friend,38,30,36,0,12,71,100,0,62,83,33
1. Family member,8,10,9,33,12,0,0,0,0,0,0
Other (please specify),4,0,18,17,0,0,0,0,0,0,0
What are your main shelter-related concerns?,,,,,,,,,,,
no shelter related concerns,51,92,27,42,44,51,50,40,41,49,77
1. There is no shelter,4,1,10,4,0,2,50,0,2,17,1
2. Shelters are overcrowded,17,4,15,19,22,26,0,9,34,17,9
3. Homes are so damaged that they are uninhabitable,5,0,13,10,3,9,0,4,2,7,1
4. Unexploded remnants of war and landmines,0,0,0,1,0,0,0,0,0,0,0
5. Building materials to repair shelters are unavailable,2,0,3,3,1,3,0,6,3,0,1
6. Building services/skills are unavailable,2,0,1,2,1,2,0,1,4,3,0
7. Lack of access to basic utilities,6,2,2,4,21,3,0,3,2,3,4
8. Partial access to basic utilities,8,1,2,6,24,2,0,22,1,0,10
9. Lack of basic household items,12,2,9,7,33,13,0,31,4,4,4
10. Lack of privacy,12,3,22,12,8,22,0,19,20,3,1
"11. Lack of gender-sensitive WASH facilities (bathing, washing, toilet, etc)",4,0,13,8,0,2,0,10,2,0,0
12. Insecurity or conflict,8,0,27,15,0,1,0,15,7,10,0
Other (please specify),0,1,1,1,0,0,0,1,0,0,1
Don't know,0,0,1,1,0,1,0,0,0,1,1
Prefer not to answer,0,0,2,1,0,0,0,1,1,1,0
How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,,,,,,,,,,,
1. No damage / negligible damage,51,78,47,61,18,70,100,45,45,51,55
"2. Light damage (repairs needed, but shelter is livable)",37,19,34,34,75,11,0,48,38,30,39
3. Medium damage,10,4,17,5,7,14,0,7,17,16,7
4. Heavy damage (shelter is not livable without repairs),1,0,1,0,0,5,0,0,0,2,0
5. Destroyed (shelter needs to be reconstructed),0,0,0,0,0,0,0,0,0,1,0
Who do you live with?,,,,,,,,,,,
1. I live alone,10,36,4,5,6,11,0,11,4,1,12
2. I live with family,25,10,56,46,16,10,50,72,5,8,12
3. I live with Libyan friends,1,2,0,0,1,1,0,0,1,2,1
4. I live with migrant friends,47,40,23,41,65,46,50,11,39,72,70
5. I live with colleagues,14,13,5,5,12,35,0,5,21,0,38
6. I live with my employer,2,1,1,1,0,1,0,2,2,2,8
7. I live with my landlord,0,0,1,1,0,1,0,0,0,0,1
8. I live with other refugees/migrants that I did not previously know,9,0,15,2,0,10,0,1,28,27,1
9. I live with Libyans that I did not previously know,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,0,0,0,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,1
How many people do you share your accommodation with?,,,,,,,,,,,
Average,5.048262548,3.2109375,7.531073446,4.073619632,9.268085106,6.851190476,4.5,2.926174497,3.809815951,2.268518519,3.607843137
Is your cooking space separated from the rest of your living space?,,,,,,,,,,,
Yes,57,69,58,69,8,72,100,74,76,57,48
No,43,31,41,31,92,28,0,26,24,41,51
Don't know,0,0,0,0,0,0,0,1,0,1,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,1
What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,,,,,,,,,,,
Average,54.19289044,43.87817259,87.07567568,72.81976744,59.7250996,41.74468085,180,121.8263473,15.9702381,18.43119266,32.57142857
What are the biggest challenges you face in accessing shelter?,,,,,,,,,,,
1. Do not face any challenges ,43,86,17,33,61,43,50,14,22,40,61
2. Do not have the appropriate documents ,16,5,12,6,29,21,0,40,16,10,2
3. Do not have enough money ,24,7,51,39,2,32,50,35,20,27,17
4. Discrimatory treatment/Landlords do not trust me ,6,1,16,2,1,1,0,14,15,5,0
5. Do not have the right contacts to find a place ,4,1,5,2,0,5,0,5,18,1,3
6. Fear of being overcharged ,26,5,20,37,27,34,0,41,21,34,18
7. Lack of information about finding shelter,8,1,9,6,2,8,0,4,15,20,4
8. Lack of freedom of movement,8,3,10,2,3,2,0,17,9,4,26
9. Tensions with host community,8,0,10,6,0,6,0,19,7,20,4
"10. Safety and security concerns (threat, danger, etc)",8,1,17,15,0,3,0,20,4,6,6
Other (please specify),0,0,0,0,1,1,0,0,0,1,1
Don't know,0,0,2,1,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Have you experienced eviction or the threat of eviction within the past 6 months?,,,,,,,,,,,
3. No,90,96,62,88,99,92,50,82,93,95,94
"1. Yes, have been threatened with eviction",7,3,26,6,1,6,0,17,3,0,2
"2. Yes, have been recently evicted",3,1,10,5,0,2,50,1,1,4,0
Don't know,1,1,1,1,0,0,0,0,1,1,2
Prefer not to answer,1,0,1,0,0,0,0,0,1,0,2
Why do you think you were evicted / threatened with eviction?,,,,,,,,,,,
"1. Forced eviction, i.e. from armed group pressure or land-grabbing",14,0,20,11,0,0,0,17,0,0,67
2. Land acquisitions,2,0,0,5,0,0,0,7,0,0,0
3. Clearance of camp/public space by authorities,8,0,3,0,0,67,0,0,0,0,0
4. Discrimination based on ethnicity/tribe,10,0,9,21,50,0,0,13,0,0,0
5. Cannot afford rent,37,67,53,37,50,13,100,23,14,0,0
6. No documentation to prove legal ownership,18,17,3,11,0,27,0,43,29,50,0
7. Punitive or retaliatory actions,0,0,0,0,0,0,0,0,0,0,0
8. Authorities requested that you leave ,2,0,2,0,0,7,0,3,0,0,0
9. Host family no longer able to host our family,4,0,3,5,0,0,0,13,0,0,0
10. Request to vacate from owner of buidling/land,25,17,24,26,0,20,0,27,43,50,0
11. Lack of rental contract ,2,0,0,11,0,0,0,0,0,12,0
12. Lack of required documents,6,0,3,0,0,7,0,17,29,0,0
Other (please specify),2,0,0,0,0,7,0,0,0,12,33
Don't know,1,0,0,11,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
1. Mattresses,,,,,,,,,,,
2. I own this but need another / more,51,54,53,67,86,35,0,26,46,60,17
3. I own enough of this and do not need more,42,43,27,22,14,61,50,74,46,35,70
1. I do not own this object,7,3,20,10,0,5,50,0,8,5,12
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
2. Blankets,,,,,,,,,,,
2. I own this but need another / more,44,52,44,66,41,40,50,20,49,60,18
3. I own enough of this and do not need more,42,47,31,22,14,57,0,80,48,32,67
1. I do not own this object,14,2,25,12,45,3,50,0,3,8,14
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
"3. Bedding items (sheets, pillows)",,,,,,,,,,,
3. I own enough of this and do not need more,42,44,27,24,13,60,0,79,28,53,64
2. I own this but need another / more,39,55,39,52,38,36,50,19,54,39,14
1. I do not own this object,19,1,33,24,48,4,50,2,18,8,21
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
4. Clothing for cold weather,,,,,,,,,,,
2. I own this but need another / more,43,52,33,53,65,22,0,31,62,49,10
3. I own enough of this and do not need more,33,47,19,21,12,65,0,66,20,13,45
1. I do not own this object,24,1,47,26,22,12,100,3,18,38,44
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
5. Heating systems,,,,,,,,,,,
1. I do not own this object,63,20,62,66,80,74,50,38,61,80,78
2. I own this but need another / more,20,42,18,19,14,14,50,32,24,15,4
3. I own enough of this and do not need more,17,38,19,16,6,12,0,30,15,5,17
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
6. Gas/electric stove ,,,,,,,,,,,
2. I own this but need another / more,45,49,41,47,83,54,50,25,43,38,4
3. I own enough of this and do not need more,38,48,31,38,14,38,0,59,51,23,61
1. I do not own this object,17,3,26,16,3,8,50,17,6,39,34
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,0
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
7. Cooking set/items                                   ,,,,,,,,,,,
2. I own this but need another / more,52,52,47,65,89,45,50,43,51,47,17
3. I own enough of this and do not need more,38,44,26,24,9,49,0,51,44,44,66
1. I do not own this object,9,5,27,11,2,6,50,5,5,10,17
Don't know,0,0,0,0,0,0,0,1,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
8. Mosquito nets                                                     ,,,,,,,,,,,
1. I do not own this object,80,41,91,91,86,89,100,72,80,86,85
2. I own this but need another / more,10,29,5,5,6,6,0,15,12,10,2
3. I own enough of this and do not need more,10,30,4,4,8,5,0,13,8,4,12
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,1,0,0,0,0,0,0,0,0,0
"9. Water storage containers (water tank, jerry cans, etc.)",,,,,,,,,,,
3. I own enough of this and do not need more,35,46,24,35,3,59,0,64,30,25,47
2. I own this but need another / more,33,29,30,42,8,26,0,34,63,59,17
1. I do not own this object,31,24,46,22,89,15,100,2,8,17,36
Don't know,0,0,0,1,0,0,0,0,0,0,0
10. Solar lamp,,,,,,,,,,,
1. I do not own this object,77,42,92,91,87,81,100,84,25,88,94
2. I own this but need another / more,14,29,3,5,12,13,0,7,47,9,2
3. I own enough of this and do not need more,9,29,5,3,0,6,0,10,28,3,4
Don't know,0,0,0,0,0,1,0,0,0,0,0
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
11. Mobile phone (smart phone),,,,,,,,,,,
3. I own enough of this and do not need more,41,45,37,34,52,27,0,55,57,6,68
1. I do not own this object,31,14,48,38,30,40,50,16,14,57,18
2. I own this but need another / more,27,42,15,28,18,33,50,29,30,37,14
